name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
antisinatonic,asina-,10,1,9,1,5,2,3,5:2,semihard,23,1,8,21,0.913043,8
antisinatonic,asina-,10,1,9,1,5,3,3,5:3,semisoft,32,1,8,29,0.906250,8
jaric,jara-,10,2,8,2,1,1,0,1:1,equalized,10,1,3,4,0.800000,3
jaric,jara-,10,2,8,2,2,1,1,2:1,basic,12,1,3,5,0.833333,3
jaric,jara-,10,2,8,2,3,1,2,3:1,hard,14,1,3,6,0.857143,3
jaric,jara-,10,2,8,2,3,2,2,3:2,soft,22,1,3,9,0.818182,3
jaric,jara-,10,2,8,2,4,1,3,4:1,superhard,16,1,3,7,0.875000,3
jaric,jara-,10,2,8,2,4,3,3,4:3,supersoft,32,1,3,13,0.812500,3
jaric,jara-,10,2,8,2,5,2,3,5:2,semihard,26,1,3,11,0.846154,3
jaric,jara-,10,2,8,2,5,3,3,5:3,semisoft,34,1,3,14,0.823529,3
sephiroid,seph-,10,3,7,1,1,1,0,1:1,equalized,10,1,2,3,0.300000,4
sephiroid,seph-,10,3,7,1,2,1,1,2:1,basic,13,1,2,4,0.307692,4
sephiroid,seph-,10,3,7,1,3,1,2,3:1,hard,16,1,2,5,0.312500,4
sephiroid,seph-,10,3,7,1,3,2,2,3:2,soft,23,1,2,7,0.304348,4
sephiroid,seph-,10,3,7,1,4,1,3,4:1,superhard,19,1,2,6,0.315789,4
sephiroid,seph-,10,3,7,1,4,3,3,4:3,supersoft,33,1,2,10,0.303030,4
sephiroid,seph-,10,3,7,1,5,2,3,5:2,semihard,29,1,2,9,0.310345,4
sephiroid,seph-,10,3,7,1,5,3,3,5:3,semisoft,36,1,2,11,0.305556,4
lime,lime-,10,4,6,2,1,1,0,1:1,equalized,10,1,1,2,0.400000,2
lime,lime-,10,4,6,2,2,1,1,2:1,basic,14,1,1,3,0.428571,2
lime,lime-,10,4,6,2,3,1,2,3:1,hard,18,1,1,4,0.444444,2
lime,lime-,10,4,6,2,3,2,2,3:2,soft,24,1,1,5,0.416667,2
lime,lime-,10,4,6,2,4,1,3,4:1,superhard,22,1,1,5,0.454545,2
lime,lime-,10,4,6,2,4,3,3,4:3,supersoft,34,1,1,7,0.411765,2
lime,lime-,10,4,6,2,5,2,3,5:2,semihard,32,1,1,7,0.437500,2
lime,lime-,10,4,6,2,5,3,3,5:3,semisoft,38,1,1,8,0.421053,2
pentawood,pentawd-,10,5,5,5,1,1,0,1:1,equalized,10,1,0,1,0.500000,0
pentawood,pentawd-,10,5,5,5,2,1,1,2:1,basic,15,1,0,2,0.666667,0
pentawood,pentawd-,10,5,5,5,3,1,2,3:1,hard,20,1,0,3,0.750000,0
pentawood,pentawd-,10,5,5,5,3,2,2,3:2,soft,25,1,0,3,0.600000,0
pentawood,pentawd-,10,5,5,5,4,1,3,4:1,superhard,25,1,0,4,0.800000,0
pentawood,pentawd-,10,5,5,5,4,3,3,4:3,supersoft,35,1,0,4,0.571429,0
pentawood,pentawd-,10,5,5,5,5,2,3,5:2,semihard,35,1,0,5,0.714286,0
pentawood,pentawd-,10,5,5,5,5,3,3,5:3,semisoft,40,1,0,5,0.625000,0
lemon,lem-,10,6,4,2,1,1,0,1:1,equalized,10,2,1,3,0.600000,2
lemon,lem-,10,6,4,2,2,1,1,2:1,basic,16,2,1,5,0.625000,2
lemon,lem-,10,6,4,2,3,1,2,3:1,hard,22,2,1,7,0.636364,2
lemon,lem-,10,6,4,2,3,2,2,3:2,soft,26,2,1,8,0.615385,2
lemon,lem-,10,6,4,2,4,1,3,4:1,superhard,28,2,1,9,0.642857,2
lemon,lem-,10,6,4,2,4,3,3,4:3,supersoft,36,2,1,11,0.611111,2
lemon,lem-,10,6,4,2,5,2,3,5:2,semihard,38,2,1,12,0.631579,2
lemon,lem-,10,6,4,2,5,3,3,5:3,semisoft,42,2,1,13,0.619048,2
dicoid,dico-,10,7,3,1,1,1,0,1:1,equalized,10,5,2,7,0.700000,4
dicoid,dico-,10,7,3,1,2,1,1,2:1,basic,17,5,2,12,0.705882,4
dicoid,dico-,10,7,3,1,3,1,2,3:1,hard,24,5,2,17,0.708333,4
dicoid,dico-,10,7,3,1,3,2,2,3:2,soft,27,5,2,19,0.703704,4
dicoid,dico-,10,7,3,1,4,1,3,4:1,superhard,31,5,2,22,0.709677,4
dicoid,dico-,10,7,3,1,4,3,3,4:3,supersoft,37,5,2,26,0.702703,4
dicoid,dico-,10,7,3,1,5,2,3,5:2,semihard,41,5,2,29,0.707317,4
dicoid,dico-,10,7,3,1,5,3,3,5:3,semisoft,44,5,2,31,0.704545,4
taric,tara-,10,8,2,2,1,1,0,1:1,equalized,10,1,0,1,0.200000,3
taric,tara-,10,8,2,2,2,1,1,2:1,basic,18,1,0,2,0.222222,3
taric,tara-,10,8,2,2,3,1,2,3:1,hard,26,1,0,3,0.230769,3
taric,tara-,10,8,2,2,3,2,2,3:2,soft,28,1,0,3,0.214286,3
taric,tara-,10,8,2,2,4,1,3,4:1,superhard,34,1,0,4,0.235294,3
taric,tara-,10,8,2,2,4,3,3,4:3,supersoft,38,1,0,4,0.210526,3
taric,tara-,10,8,2,2,5,2,3,5:2,semihard,44,1,0,5,0.227273,3
taric,tara-,10,8,2,2,5,3,3,5:3,semisoft,46,1,0,5,0.217391,3
sinatonic,sina-,10,9,1,1,1,1,0,1:1,equalized,10,1,0,1,0.100000,8
sinatonic,sina-,10,9,1,1,2,1,1,2:1,basic,19,1,0,2,0.105263,8
sinatonic,sina-,10,9,1,1,3,1,2,3:1,hard,28,1,0,3,0.107143,8
sinatonic,sina-,10,9,1,1,3,2,2,3:2,soft,29,1,0,3,0.103448,8
sinatonic,sina-,10,9,1,1,4,1,3,4:1,superhard,37,1,0,4,0.108108,8
sinatonic,sina-,10,9,1,1,4,3,3,4:3,supersoft,39,1,0,4,0.102564,8
sinatonic,sina-,10,9,1,1,5,2,3,5:2,semihard,47,1,0,5,0.106383,8
sinatonic,sina-,10,9,1,1,5,3,3,5:3,semisoft,48,1,0,5,0.104167,8
