name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
antipentic,apent-,5,3,2,1,4,3,3,4:3,supersoft,18,2,1,11,0.611111,2
antipentic,apent-,5,3,2,1,5,2,3,5:2,semihard,19,2,1,12,0.631579,2
antipentic,apent-,5,3,2,1,5,3,3,5:3,semisoft,21,2,1,13,0.619048,2
manual,manu-,5,4,1,1,1,1,0,1:1,equalized,5,1,0,1,0.200000,3
manual,manu-,5,4,1,1,2,1,1,2:1,basic,9,1,0,2,0.222222,3
manual,manu-,5,4,1,1,3,1,2,3:1,hard,13,1,0,3,0.230769,3
manual,manu-,5,4,1,1,3,2,2,3:2,soft,14,1,0,3,0.214286,3
manual,manu-,5,4,1,1,4,1,3,4:1,superhard,17,1,0,4,0.235294,3
manual,manu-,5,4,1,1,4,3,3,4:3,supersoft,19,1,0,4,0.210526,3
manual,manu-,5,4,1,1,5,2,3,5:2,semihard,22,1,0,5,0.227273,3
manual,manu-,5,4,1,1,5,3,3,5:3,semisoft,23,1,0,5,0.217391,3
antimachinoid,amech-,6,1,5,1,1,1,0,1:1,equalized,6,1,4,5,0.833333,4
antimachinoid,amech-,6,1,5,1,2,1,1,2:1,basic,7,1,4,6,0.857143,4
antimachinoid,amech-,6,1,5,1,3,1,2,3:1,hard,8,1,4,7,0.875000,4
antimachinoid,amech-,6,1,5,1,3,2,2,3:2,soft,13,1,4,11,0.846154,4
antimachinoid,amech-,6,1,5,1,4,1,3,4:1,superhard,9,1,4,8,0.888889,4
antimachinoid,amech-,6,1,5,1,4,3,3,4:3,supersoft,19,1,4,16,0.842105,4
antimachinoid,amech-,6,1,5,1,5,2,3,5:2,semihard,15,1,4,13,0.866667,4
antimachinoid,amech-,6,1,5,1,5,3,3,5:3,semisoft,20,1,4,17,0.850000,4
malic,mal-,6,2,4,2,1,1,0,1:1,equalized,6,1,1,2,0.666667,1
